,address,num_bedroom,num_bathroom,price,post_code,latitude,longitude,neighborhood,ptype,size
1095,1558-23 Cox Boulevard,2 bd,2 ba,"588,000",L4A7X5,43.854092,-79.340691,Unionville,condo,900-999 sqft
1096,126 Louisbourg Way,2 bd,3 ba,"550,000",L4A7X5,43.902161,-79.25193,Unionville,condo,1000-1199 sqft
1097,6-10 St Moritz Way,3 bd,3 ba,"718,800",L4A7X5,43.855919,-79.346077,Unionville,condo,1600-1799 sqft
1098,782 Harry Syratt Avenue,3 bd,4 ba,"749,000",L4A7X5,44.029976,-79.455658,Unionville,condo,1800-1999 sqft
1099,807-9560 Markham Road,2 bd,2 ba,"499,000",L4A7X5,43.89901,-79.266121,Unionville,condo,800-899 sqft
1100,11 Frederick Wilson Avenue,2 bd,3 ba,"665,000",L4A7X5,43.88203,-79.22406,Unionville,condo,1200-1399 sqft
1101,9 Pinehurst Club Way,2 bd,3 ba,"689,900",L4A7X5,43.899944,-79.248833,Unionville,condo,1400-1599 sqft
1102,2 Wave Hill Way,2 bd,4 ba,"699,000",L4A7X5,43.90036,-79.252464,Unionville,condo,1400-1599 sqft
1103,68-646 Village Parkway,4 bd,3 ba,"599,000",L4A7X5,43.871758,-79.329002,Unionville,condo,1600-1799 sqft
1104,2707 Brownstones Phase 2 ,2 bd,2 ba,"530,000",L4A7X5,43.877453,-79.233482,Unionville,condo,1000-1199 sqft
1105,105-11611 Yonge Street,1 bd,1 ba,"477,300",L4A7X5,43.910164,-79.445999,Unionville,condo,600-699 sqft
1106,1518-9471 Yonge Street,2 bd,2 ba,"575,000",L4A7X5,43.858253,-79.433624,Unionville,condo,700-799 sqft
1107,516-25 Water Walk Drive,1 bd,1 ba,"499,900",L4A7X5,43.856682,-79.327873,Unionville,condo,600-699 sqft
1108,618-25 Water Walk Drive,1 bd,1 ba,"501,999",L4A7X5,43.856682,-79.327873,Unionville,condo,600-699 sqft
1109,504-100 Observatory Lane,2 bd,2 ba,"659,900",L4A7X5,43.859463,-79.432297,Unionville,condo,1200-1399 sqft
1110,27 Frederick Wilson Avenue,2 bd,3 ba,"669,900",L4A7X5,43.88203,-79.22406,Unionville,condo,1200-1399 sqft
1111,246 Milestone Crescent,3 bd,2 ba,"359,900",L4A7X5,43.994537,-79.47831,Unionville,condo,1200-1399 sqft
1112,910-151 Upper Duke Crescent,1 bd,1 ba,"428,888",L4A7X5,43.852146,-79.327888,Unionville,condo,500-599 sqft
1113,402-70 Baif Boulevard Boulevard,2 bd,2 ba,"599,000",L4A7X5,43.858246,-79.438126,Unionville,condo,1000-1199 sqft
1114,Ph22-28 Uptown Drive,1 bd,1 ba,"439,000",L4A7X5,43.856758,-79.326279,Unionville,condo,500-599 sqft
1115,515-111 Civic Square Gate,2 bd,2 ba,"769,000",L4A7X5,44.008595,-79.449005,Unionville,condo,1000-1199 sqft
1116,117-8323 Kennedy Road,1 bd,1 ba,"425,000",L4A7X5,43.856194,-79.304581,Unionville,condo,600-699 sqft
1117,2714 Brownstone Phase 2 ,2 bd,2 ba,"499,000",L4A7X5,43.877453,-79.233482,Unionville,condo,800-899 sqft
1118,603-25 Water Walk Drive,1 bd,1 ba,"489,999",L4A7X5,43.856682,-79.327873,Unionville,condo,600-699 sqft
1119,89 Big Hill Crescent,3 bd,3 ba,"799,000",L4A7X5,43.858162,-79.497696,Greensborough,townhouse,1500-2000 sqft
1120,117 Decast Crescent,4 bd,3 ba,"899,000",L4A7X5,43.871681,-79.221939,Greensborough,townhouse,2000-2500 sqft
1121,28 Rachett Road,3 bd,4 ba,"779,900",L4A7X5,43.9016,-79.257645,Greensborough,townhouse,1500-2000 sqft
1122,103 Alfred Smith Way,4 bd,4 ba,"699,000",L4A7X5,44.05938,-79.491951,Greensborough,townhouse,
1123,632 South Unionville Avenue,3 bd,3 ba,"799,000",L4A7X5,43.860249,-79.286606,Greensborough,townhouse,1500-2000 sqft
1124,34 Brower Avenue,3 bd,3 ba,"839,000",L4A7X5,43.926403,-79.455299,Greensborough,townhouse,
1125,55 Ludwig Court,3 bd,3 ba,"728,800",L4A7X5,43.967007,-79.272537,Greensborough,townhouse,
1126,145 Stalmaster Road,4 bd,3 ba,"868,000",L4A7X5,43.906696,-79.255798,Greensborough,townhouse,1500-2000 sqft
1127,21 Sparks Street,4 bd,5 ba,"929,000",L4A7X5,44.01965,-79.42485,Greensborough,townhouse,
1128,62 Reginald Crescent,3 bd,4 ba,"699,000",L4A7X5,43.879517,-79.237953,Greensborough,townhouse,1500-2000 sqft
1129,5 Maffey Crescent,4 bd,4 ba,"949,000",L4A7X5,43.904636,-79.454987,Greensborough,townhouse,1500-2000 sqft
1130,306 Chouinard Way,4 bd,3 ba,"955,000",L4A7X5,44.026733,-79.422264,Greensborough,townhouse,2000-2500 sqft
1131,2 Sparks Street,4 bd,4 ba,"899,000",L4A7X5,44.01965,-79.42485,Greensborough,townhouse,
1132,109 Knott Crescent,3 bd,3 ba,"724,900",L4A7X5,44.059189,-79.461258,Greensborough,townhouse,
1133,359 William Forster Road,6 bd,4 ba,"1,188,000",L4A7X5,43.889278,-79.222038,Greensborough,townhouse,2500-3000 sqft
1134,9932 Mccowan Road,3 bd,3 ba,"719,000",L4A7X5,43.901276,-79.293106,Greensborough,townhouse,
1135,109 Knott Crescent,3 bd,3 ba,"724,900",L4A7X5,44.059189,-79.461258,Greensborough,townhouse,
1136,35 Hoppington Avenue,3 bd,4 ba,"689,000",L4A7X5,43.965954,-79.229034,Greensborough,townhouse,1500-2000 sqft
1137,85 Sharonview Crescent,3 bd,3 ba,"659,000",L4A7X5,44.099205,-79.445572,Greensborough,townhouse,
1138,10945 Woodbine Avenue,3 bd,3 ba,"858,000",L4A7X5,43.908447,-79.372055,Greensborough,townhouse,2000-2500 sqft
1139,15 Opal Court,3 bd,3 ba,"695,000",L4A7X5,43.977692,-79.242844,Greensborough,townhouse,
1140,7 Harcourt Street,3 bd,3 ba,"850,888",L4A7X5,43.882393,-79.46759,Greensborough,townhouse,1500-2000 sqft
1141,49 Collin Court,4 bd,5 ba,"945,000",L4A7X5,43.906204,-79.470398,Greensborough,townhouse,2000-2500 sqft
1142,195 Bingham Avenue,3 bd,2 ba,"1,249,000",M4E3M8,43.683674,-79.286087,East End-Danforth,house,
1143,432 Kingswood Road,3 bd,4 ba,"1,350,000",M4E3M8,43.685284,-79.288307,East End-Danforth,house,
1144,2366 Gerrard Street,1 bd,3 ba,"1,800,000",M4E3M8,43.686016,-79.291687,East End-Danforth,house,
1145,34 Gesher Crescent,3 bd,5 ba,"1,625,000",L6A0X2,43.855614,-79.462547,Patterson,house,3500-5000 sqft
1146,306 Ilan Ramon Boulevard,4 bd,5 ba,"1,680,000",L6A0X2,43.855106,-79.46521,Patterson,house,3500-5000 sqft
1147,38 Aegis Drive,5 bd,5 ba,"1,880,000",L6A0X2,43.862751,-79.465157,Patterson,house,3500-5000 sqft
1148,118 Rumsey Road,4 bd,5 ba,"1,558,800",L6A0X2,43.856094,-79.466324,Patterson,house,
1149,16 Big Rock Drive,4 bd,4 ba,"2,288,000",L6A0X2,43.860878,-79.469009,Patterson,house,3500-5000 sqft
1150,61 Rumsey Road,4 bd,5 ba,"1,749,900",L6A0X2,43.855324,-79.467644,Patterson,house,3500-5000 sqft
1151,11 Nosson Place,4 bd,5 ba,"1,999,999",L6A0X2,43.858673,-79.467903,Patterson,house,3500-5000 sqft
1152,97 Timna Crescent,5 bd,5 ba,"1,899,000",L6A0X2,43.857353,-79.466805,Patterson,house,3500-5000 sqft
1153,48 Gesher Crescent,4 bd,5 ba,"1,688,000",L6A0X2,43.855907,-79.462761,Patterson,house,3500-5000 sqft
1154,66 Poinsetta Drive,4 bd,4 ba,"1,499,000",L3T2V5,43.814716,-79.393784,Bayview Glen,house,
1155,126 Babcombe Drive,4 bd,5 ba,"3,488,000",L3T2V5,43.811737,-79.389008,Bayview Glen,house,3000-3500 sqft
1156,32 Daffodil Avenue,4 bd,3 ba,"2,699,000",L3T2V5,43.812885,-79.390839,Bayview Glen,house,
1157,190 Bayview Fairways Drive,4 bd,3 ba,"1,488,888",L3T2V5,43.815308,-79.388992,Bayview Glen,house,
1158,4 Sunflower Court,6 bd,4 ba,"2,999,000",L3T2V5,43.812965,-79.392464,Bayview Glen,house,3500-5000 sqft
1159,87 Broomfield Drive,3 bd,3 ba,"899,000",M1S2R7,43.800774,-79.272713,Agincourt South-Malvern West,house,
1160,2 Cudham Drive,4 bd,3 ba,"989,900",M1S2R7,43.803162,-79.272972,Agincourt South-Malvern West,house,
1161,22 Todd Road,3 bd,3 ba,"938,000",M1S2R7,43.795441,-79.276894,Agincourt South-Malvern West,house,
1162,34 Charing Crescent,4 bd,5 ba,"1,329,000",L4G6N9,43.969898,-79.486885,Aurora Highlands,house,3500-5000 sqft
1163,14 Chiswick Crescent,4 bd,4 ba,"1,119,500",L4G6N9,43.970257,-79.482407,Aurora Highlands,house,
1164,152 Carlyle Crescent,4 bd,4 ba,"1,085,000",L4G6N9,43.967049,-79.483551,Aurora Highlands,house,2500-3000 sqft
1165,146 Queens Avenue,2 bd,2 ba,"849,000",M8V1R4,43.614365,-79.492645,Mimico,house,
1166,9 Macdonald Street,3 bd,1 ba,"899,999",M8V1R4,43.610611,-79.496597,Mimico,house,2000-2500 sqft
1167,153 Stanley Avenue,4 bd,3 ba,"1,500,000",M8V1R4,43.614677,-79.495239,Mimico,house,1500-2000 sqft
1168,16 Kingshill Road,3 bd,4 ba,"899,900",L4E4X5,43.939106,-79.474716,Oak Ridges,house,
1169,45 Linacre Drive,5 bd,5 ba,"1,499,000",L4E4X5,43.937496,-79.475517,Oak Ridges,house,3500-5000 sqft
1170,26 Newbridge Avenue,4 bd,4 ba,"1,190,000",L4E4X5,43.938805,-79.469887,Oak Ridges,house,
1171,1 Cider Crescent,4 bd,4 ba,"1,190,000",L4E4X5,43.938702,-79.47155,Oak Ridges,house,2500-3000 sqft
1172,79 Selleck Drive,4 bd,4 ba,"1,650,000",L4E4X5,43.933975,-79.471024,Oak Ridges,house,2500-3000 sqft
1173,44 Cozens Drive,4 bd,4 ba,"1,088,000",L4E4X5,43.934937,-79.47467,Oak Ridges,house,2000-2500 sqft
1174,63 Government Road,3 bd,4 ba,"1,699,000",M8X2M6,43.659355,-79.50795,Kingsway South,house,2000-2500 sqft
1175,12 Shand Avenue,4 bd,5 ba,"3,689,000",M8X2M6,43.657295,-79.51004,Kingsway South,house,3500-5000 sqft
1176,82 Government Road,2 bd,1 ba,"1,224,950",M8X2M6,43.659344,-79.509735,Kingsway South,house,
1177,22 Thorndale Avenue,4 bd,4 ba,"2,995,000",M8X2M6,43.660805,-79.506897,Kingsway South,house,3000-3500 sqft
1178,61 Sandway Crescent,3 bd,3 ba,"949,000",L6A2M4,43.865509,-79.532791,Maple,house,
1179,80 Purcell Crescent,5 bd,4 ba,"1,030,000",L6A2M4,43.864628,-79.522209,Maple,house,2500-3000 sqft
1180,139 Royal Ridge Crescent,3 bd,4 ba,"1,079,900",L6A2M4,43.869106,-79.527122,Maple,house,
1181,33 Logwood Drive,4 bd,4 ba,"1,249,000",L6A2M4,43.864929,-79.524269,Maple,house,3000-3500 sqft
1182,103 Sierra Court,4 bd,4 ba,"1,399,000",L6A2M4,43.860916,-79.532837,Maple,house,
1183,24 Cooper Creek Court,4 bd,3 ba,"1,248,000",L6A2M4,43.869186,-79.534416,Maple,house,
1184,10 Purcell Crescent,4 bd,4 ba,"1,098,888",L6A2M4,43.865616,-79.524139,Maple,house,2500-3000 sqft
1185,442 Glenkindie Avenue,4 bd,4 ba,"1,399,900",L6A2M4,43.858086,-79.529366,Maple,house,2500-3000 sqft
1186,1512-35 Trailwood Drive,2 bd,2 ba,"388,888",L4Z3R1,43.613228,-79.659943,Hurontario,condo,1000-1199 sqft
1187,307-25 Trailwood Drive,2 bd,2 ba,"399,999",L4Z3R1,43.613132,-79.660728,Hurontario,condo,1000-1199 sqft
1188,613-95 Trailwood Drive,3 bd,2 ba,"374,900",L4Z3R1,43.615505,-79.659203,Hurontario,condo,1000-1199 sqft
1189,1802-25 Trailwood Drive,2 bd,2 ba,"429,900",L4Z3R1,43.613132,-79.660728,Hurontario,condo,1000-1199 sqft
1190,659 Ormond Drive,4 bd,4 ba,"789,900",L1K2W6,43.943577,-78.86454,Samac,house,2500-3000 sqft
1191,726 Coldstream Drive,4 bd,3 ba,"729,900",L1K2W6,43.945869,-78.866966,Samac,house,
1192,1835 Silverstone Crescent,3 bd,3 ba,"625,000",L1K2W6,43.946434,-78.86483,Samac,house,
1193,86 Rushmore Court,3 bd,3 ba,"899,900",L3S3S8,43.859882,-79.253212,Rouge River Estates,house,
1194,22 Biltmore Court,4 bd,5 ba,"1,199,000",L3S3S8,43.857849,-79.252022,Rouge River Estates,house,3000-3500 sqft
1195,39 Carolwood Crescent,4 bd,5 ba,"2,399,900",L3S3S8,43.862926,-79.252647,Rouge River Estates,house,3500-5000 sqft
1196,92 Clandfield Street,4 bd,3 ba,"865,000",L3S3S8,43.859123,-79.255684,Rouge River Estates,house,
1197,205-2325 Central Park Drive,2 bd,2 ba,"419,900",L6H6G3,43.47781,-79.722557,1015 - RO River Oaks,condo,800-899 sqft
1198,401-2325 Central Park Drive,1 bd,1 ba,"378,900",L6H6G3,43.47781,-79.722557,1015 - RO River Oaks,condo,690 sqft
1199,412-2365 Central Park Drive,1 bd,1 ba,"389,900",L6H6G3,43.479591,-79.721481,1015 - RO River Oaks,condo,660 sqft
1200,412-2365 Central Park Drive,1 bd,1 ba,"389,900",L6H6G3,43.479496,-79.721313,1015 - RO River Oaks,condo,600-699 sqft
1201,402-2301 Parkhaven Boulevard,2 bd,2 ba,"508,800",L6H6G3,43.476696,-79.718346,1015 - RO River Oaks,condo,818 sqft
1202,406-2301 Parkhaven Boulevard,2 bd,2 ba,"449,900",L6H6G3,43.476738,-79.71817,1015 - RO River Oaks,condo,965 sqft
1203,406-2301 Parkhaven Boulevard,2 bd,2 ba,"449,900",L6H6G3,43.476738,-79.71817,1015 - RO River Oaks,condo,900-999 sqft
1204,1005-2365 Central Park Drive,2 bd,2 ba,"449,000",L6H6G3,43.479492,-79.72123,1015 - RO River Oaks,condo,893 sqft
1205,1005-2365 Central Park Drive,2 bd,2 ba,"449,000",L6H6G3,43.479496,-79.721313,1015 - RO River Oaks,condo,800-899 sqft
1206,"202,-2301 Parkhaven Boulevard",2 bd,2 ba,"445,000",L6H6G3,43.476738,-79.71817,1015 - RO River Oaks,condo,800-899 sqft
1207,59 Goldberry Square,4 bd,4 ba,"1,030,000",M1C1Z9,43.776802,-79.153053,Centennial Scarborough,house,
1208,5294 Lawrence Avenue,3 bd,3 ba,"1,550,000",M1C1Z9,43.776932,-79.150002,Centennial Scarborough,house,2000-2500 sqft
1209,5323 Lawrence Avenue,2 bd,1 ba,"1,399,900",M1C1Z9,43.77692,-79.147499,Centennial Scarborough,house,
1210,347 Lawson Road,4 bd,4 ba,"999,000",M1C1Z9,43.787731,-79.14872,Centennial Scarborough,house,
1211,2 D'arcy Magee Crescent,3 bd,2 ba,"849,900",M1C1Z9,43.783691,-79.148788,Centennial Scarborough,house,
1212,339 Centennial Road,4 bd,5 ba,"2,388,800",M1C1Z9,43.789677,-79.151398,Centennial Scarborough,house,3500-5000 sqft
1213,24 Cockburn Drive,3 bd,2 ba,"775,000",M1C1Z9,43.783241,-79.147156,Centennial Scarborough,house,1500-2000 sqft
1214,417-2055 Danforth Avenue,2 bd,2 ba,"679,000",M4C3X9,43.685398,-79.313568,Woodbine Corridor,condo,800-899 sqft
1215,204-2055 Danforth Avenue,2 bd,2 ba,"688,000",M4C3X9,43.685398,-79.313568,Woodbine Corridor,condo,700-799 sqft
1216,610-2055 Danforth Avenue,2 bd,2 ba,"674,900",M4C3X9,43.685398,-79.313568,Woodbine Corridor,condo,800-899 sqft
1217,707 Milverton Boulevard,3 bd,2 ba,"1,150,000",M4C3X9,43.688622,-79.31469,Danforth,townhouse,
1218,102 Woodmount Avenue,3 bd,2 ba,"1,069,000",M4C3X9,43.688492,-79.316902,Danforth,townhouse,
1219,19 Brisby Mews,3 bd,4 ba,"699,000",M1P2P9,43.74918,-79.271088,Wexford-Maryvale,condo,1600-1799 sqft
1220,1308-2152 Lawrence Avenue,2 bd,2 ba,"488,000",M1P2P9,43.747868,-79.285484,Wexford-Maryvale,condo,800-899 sqft
1221,1203-2152 Lawrence Avenue,2 bd,2 ba,"498,000",M1P2P9,43.747868,-79.285484,Wexford-Maryvale,condo,800-899 sqft
1222,1301-2152 Lawrence Avenue,2 bd,2 ba,"479,900",M1P2P9,43.747868,-79.285484,Wexford-Maryvale,condo,900-999 sqft
1223,89 Burnt Bark Drive,3 bd,4 ba,"799,000",M1V1S4,43.81543,-79.313194,L'Amoreaux,house,
1224,40 Eastlea Crescent,4 bd,4 ba,"1,150,000",M1V1S4,43.796829,-79.30098,L'Amoreaux,house,2000-2500 sqft
1225,69 Rainier Square,4 bd,4 ba,"1,050,000",M1V1S4,43.796398,-79.303261,L'Amoreaux,house,
1226,161 Wintermute Boulevard,3 bd,3 ba,"1,080,000",M1V1S4,43.817047,-79.318275,L'Amoreaux,house,
1227,67 Bellrock Drive,4 bd,4 ba,"1,289,000",M1V1S4,43.815559,-79.291557,L'Amoreaux,house,2000-2500 sqft
1228,3 Nearwood Gate,3 bd,3 ba,"899,000",M1V1S4,43.795292,-79.301506,L'Amoreaux,house,1100-1500 sqft
1229,90 Castle Hill Drive,3 bd,1 ba,"900,000",M1V1S4,43.798012,-79.299789,L'Amoreaux,house,
1230,21 Bellbrook Road,3 bd,2 ba,"1,088,000",M1V1S4,43.799461,-79.292732,L'Amoreaux,house,
1231,33 Andes Road,4 bd,5 ba,"1,299,000",M1V1S4,43.797836,-79.300392,L'Amoreaux,house,
1232,170 Wintermute Boulevard,4 bd,3 ba,"1,229,000",M1V1S4,43.816811,-79.317703,L'Amoreaux,house,
1233,96-270 Timberbank Boulevard,4 bd,3 ba,"539,900",M1V1S4,43.797626,-79.30674,L'Amoreaux,condo,1400-1599 sqft
1234,1709-45 Silver Springs Boulevard,3 bd,2 ba,"448,888",M1V1S4,43.800812,-79.305038,L'Amoreaux,condo,1200-1399 sqft
1235,1402-3151 Bridletowne Circle,2 bd,2 ba,"389,800",M1V1S4,43.797672,-79.319885,L'Amoreaux,condo,1400-1599 sqft
1236,6-40 Wayside Avenue,3 bd,2 ba,"549,900",M1V1S4,43.800671,-79.299728,L'Amoreaux,condo,1200-1399 sqft
1237,2311-2330 Bridletowne Circle,1 bd,2 ba,"489,000",M1V1S4,43.799725,-79.316254,L'Amoreaux,condo,1200-1399 sqft
1238,1604-3151 Bridletowne Circle,2 bd,2 ba,"368,000",M1V1S4,43.797672,-79.319885,L'Amoreaux,condo,1400-1599 sqft
1239,502-3151 Bridletowne Circle,2 bd,2 ba,"299,000",M1V1S4,43.797672,-79.319885,L'Amoreaux,condo,1400-1599 sqft
1240,Ph 12-2330 Bridletowne Circle,2 bd,2 ba,"585,000",M1V1S4,43.799725,-79.316254,L'Amoreaux,condo,1600-1799 sqft
1241,710-100 Echo Private,2 bd,2 ba,"299,000",M1V1S4,43.798615,-79.314728,L'Amoreaux,condo,1000-1199 sqft
1242,409-100 Echo Private,3 bd,1 ba,"371,900",M1V1S4,43.798615,-79.314728,L'Amoreaux,condo,1200-1399 sqft
1243,2202-3151 Bridletowne Circle,2 bd,2 ba,"410,000",M1V1S4,43.797672,-79.319885,L'Amoreaux,condo,1400-1599 sqft
1244,1607-100 Echo Private,3 bd,2 ba,"382,000",M1V1S4,43.798615,-79.314728,L'Amoreaux,condo,1200-1399 sqft
1245,2305-100 Echo Private,3 bd,2 ba,"406,900",M1V1S4,43.798615,-79.314728,L'Amoreaux,condo,1000-1199 sqft
1246,1012-2050 Bridletowne Circle,3 bd,2 ba,"395,000",M1V1S4,43.798569,-79.313416,L'Amoreaux,condo,1200-1399 sqft
1247,67-121 L'amoreaux Drive,3 bd,2 ba,"598,000",M1V1S4,43.799721,-79.310005,L'Amoreaux,condo,1200-1399 sqft
1248,1910-2330 Bridletowne Circle,2 bd,2 ba,"634,900",M1V1S4,43.799725,-79.316254,L'Amoreaux,condo,1600-1799 sqft
1249,28-3075 Bridletowne Circle,3 bd,3 ba,"698,888",M1V1S4,43.800259,-79.320663,L'Amoreaux,condo,1200-1399 sqft
1250,146-270 Timberbank Boulevard,4 bd,2 ba,"558,000",M1V1S4,43.797626,-79.30674,L'Amoreaux,condo,1400-1599 sqft
1251,1106-3151 Bridletowne Circle,2 bd,2 ba,"398,000",M1V1S4,43.797672,-79.319885,L'Amoreaux,condo,1400-1599 sqft
1252,2100 Lorelei Road,3 bd,1 ba,"899,900",L5A2N9,43.575943,-79.59671,Cooksville,house,1100-1500 sqft
1253,329 Rudar Road,3 bd,3 ba,"1,298,000",L5A2N9,43.584167,-79.604561,Cooksville,house,2000-2500 sqft
1254,2371 Camilla Road,5 bd,5 ba,"2,540,000",L5A2N9,43.579407,-79.605263,Cooksville,house,3500-5000 sqft
1255,2367 Cliff Road,4 bd,5 ba,"1,849,990",L5A2N9,43.583122,-79.601364,Cooksville,house,3500-5000 sqft
1256,2371 Cliff Road,4 bd,5 ba,"1,999,999",L5A2N9,43.583454,-79.601326,Cooksville,house,3500-5000 sqft
1257,2413 Hensall Street,3 bd,2 ba,"1,088,000",L5A2N9,43.586475,-79.598946,Cooksville,house,
1258,425 Rebecca Street,4 bd,5 ba,"2,150,000",L6K2S3,43.432392,-79.68737,Bronte East,house,3500-5000 sqft
1259,225 Morden Road,3 bd,2 ba,"939,900",L6K2S3,43.435677,-79.686668,Bronte East,house,1315 sqft
1260,458 Jeanette Drive,4 bd,5 ba,"2,898,000",L6K2S3,43.432095,-79.689224,Bronte East,house,3500-5000 sqft
1261,486 Patricia Drive,4 bd,4 ba,"2,688,000",L6K2S3,43.431107,-79.689751,Bronte East,house,3600 sqft
1262,486 Patricia Drive,4 bd,4 ba,"2,688,000",L6K2S3,43.431087,-79.689713,Bronte East,house,3000-3500 sqft
1263,401 Lakeshore Road West,4 bd,2 ba,"1,649,000",L6K2S3,43.430752,-79.684341,Bronte East,house,1643 sqft
1264,401 Lakeshore Road,3 bd,2 ba,"1,649,000",L6K2S3,43.431156,-79.684219,Bronte East,house,1500-2000 sqft
1265,129 Morden Road,3 bd,2 ba,"1,299,000",L6K2S3,43.433151,-79.683556,Bronte East,house,
1266,438 Jeanette Drive,5 bd,4 ba,"3,298,888",L6K2S3,43.432404,-79.68821,Bronte East,house,3700 sqft
1267,39 Kindy Street,4 bd,6 ba,"1,699,000",L6E1H8,43.904293,-79.277672,Wismer,house,3000-3500 sqft
1268,485 Fred Mclaren Boulevard,4 bd,3 ba,"1,348,800",L6E1H8,43.902798,-79.282059,Wismer,house,3000-3500 sqft
1269,32 Everett Street,4 bd,4 ba,"1,079,000",L6E1H8,43.896652,-79.270241,Wismer,house,
1270,6 Mimosa Street,4 bd,4 ba,"988,888",L6E1H8,43.895977,-79.275002,Wismer,house,
1271,41 Furrow Street,4 bd,6 ba,"1,688,000",L6E1H8,43.903187,-79.280052,Wismer,house,3500-5000 sqft
1272,807-9560 Markham Road,2 bd,2 ba,"499,000",L6E1H8,43.89901,-79.266121,Wismer,condo,800-899 sqft
1273,807-9500 Markham Road,1 bd,1 ba,"419,888",L6E1H8,43.896603,-79.265839,Wismer,condo,700-799 sqft
1274,803-9582 Markham Road,2 bd,2 ba,"519,900",L6E1H8,43.89909,-79.26619,Wismer,condo,800-899 sqft
1275,901-9500 Markham Road,1 bd,1 ba,"439,000",L6E1H8,43.896603,-79.265839,Wismer,condo,600-699 sqft
1276,709-9582 Markham Road,1 bd,1 ba,"419,000",L6E1H8,43.89909,-79.26619,Wismer,condo,600-699 sqft
1277,817-9582 Markham Road,1 bd,1 ba,"399,999",L6E1H8,43.89909,-79.26619,Wismer,condo,600-699 sqft
1278,218-9560 Markham Road,2 bd,2 ba,"499,900",L6E1H8,43.89901,-79.266121,Wismer,condo,800-899 sqft
1279,Ph10-9560 Markham Road,2 bd,2 ba,"569,000",L6E1H8,43.89901,-79.266121,Wismer,condo,800-899 sqft
1280,1602-9500 Markham Road,2 bd,2 ba,"648,888",L6E1H8,43.896603,-79.265839,Wismer,condo,800-899 sqft
1281,Uph 6-9500 Markham Road,2 bd,3 ba,"900,000",L6E1H8,43.896603,-79.265839,Wismer,condo,1400-1599 sqft
1282,Uph1-9500 Markham Road,2 bd,2 ba,"749,500",L6E1H8,43.896603,-79.265839,Wismer,condo,1000-1199 sqft
1283,1012-9506 Markham Road,1 bd,1 ba,"450,000",L6E1H8,43.897236,-79.26635,Wismer,condo,600-699 sqft
1284,1512-9560 Markham Road,1 bd,1 ba,"429,000",L6E1H8,43.89901,-79.266121,Wismer,condo,600-699 sqft
1285,171 Everett Street,4 bd,4 ba,"938,000",L6E1H8,43.900005,-79.270813,Wismer,townhouse,
1286,44 Wingrove Street,3 bd,3 ba,"845,000",L6E1H8,43.896641,-79.281036,Wismer,townhouse,
1287,207 Bayview Heights Drive,4 bd,3 ba,"1,750,000",M4G1B1,43.695713,-79.370995,Leaside,house,
1288,25 Douglas Crescent,4 bd,6 ba,"4,799,000",M4G1B1,43.690632,-79.365929,Leaside,house,5000 sqft
1289,44 Douglas Crescent,4 bd,5 ba,"3,975,000",M4G1B1,43.691193,-79.366188,Leaside,house,3500-5000 sqft
1290,208 Bayview Heights Drive,4 bd,5 ba,"3,199,800",M4G1B1,43.69556,-79.371277,Leaside,house,2500-3000 sqft
1291,782 Firth Court,4 bd,3 ba,"838,000",L3Y8G7,44.044834,-79.441231,Gorham-College Manor,house,
1292,806 Firth Court,4 bd,3 ba,"944,500",L3Y8G7,44.045063,-79.440285,Gorham-College Manor,house,
1293,527 Veale Place,5 bd,4 ba,"999,900",L3Y8G7,44.045727,-79.438919,Gorham-College Manor,house,2500-3000 sqft
1294,1182 Barnard Drive,2 bd,2 ba,"529,900",L9T6B1,43.516258,-79.842598,Beaty,townhouse,1051 sqft
1295,1182 Barnard Drive,2 bd,2 ba,"529,900",L9T6B1,43.516262,-79.842194,Beaty,townhouse,700-1100 sqft
1296,1096 Barclay Circle,3 bd,3 ba,"614,900",L9T6B1,43.51775,-79.846985,Beaty,townhouse,
1297,1157 Mcdowell Crescent,2 bd,2 ba,"499,900",L9T6B1,43.515812,-79.842461,Beaty,townhouse,1100-1500 sqft
1298,1176 Barnard Drive,3 bd,2 ba,"559,900",L9T6B1,43.516155,-79.842316,Beaty,townhouse,1100-1500 sqft
1299,401 Sunny Meadow Boulevard,4 bd,5 ba,"949,900",L7C2P9,43.767799,-79.764671,Sandringham-Wellington,house,2500-3000 sqft
1300,14 Rockbank Road,3 bd,4 ba,"878,800",L7C2P9,43.760082,-79.780655,Sandringham-Wellington,house,
1301,59 Watsonbrook Drive,4 bd,5 ba,"898,900",L7C2P9,43.761448,-79.768532,Sandringham-Wellington,house,
1302,1 Addiscott Street,4 bd,5 ba,"939,900",L7C2P9,43.756886,-79.773262,Sandringham-Wellington,house,
1303,1 Russell Creek Drive,4 bd,5 ba,"999,900",L7C2P9,43.75919,-79.778267,Sandringham-Wellington,house,2500-3000 sqft
1304,187 Bonnieglen Farm Boulevard,5 bd,5 ba,"1,065,000",L7C2P9,43.760746,-79.821762,Sandringham-Wellington,house,3000-3500 sqft
1305,438 Sunny Meadow Boulevard,4 bd,4 ba,"989,000",L7C2P9,43.767509,-79.765594,Sandringham-Wellington,house,
1306,238 Bonnieglen Farm Boulevard,5 bd,5 ba,"1,099,000",L7C2P9,43.758282,-79.819061,Sandringham-Wellington,house,3000-3500 sqft
